Month,Visits
Jan-10,"20,433"
Feb-10,"31,553"
Mar-10,"38,083"
Apr-10,"29,566"
May-10,"20,291"
Jun-10,"18,829"
Jul-10,"19,934"
Aug-10,"21,996"
Sep-10,"27,927"
Oct-10,"23,209"
Nov-10,"19,883"
Dec-10,"17,114"
Jan-11,"26,772"
Feb-11,"47,597"
Mar-11,"30,495"
Apr-11,"30,546"
May-11,"38,040"
Jun-11,"45,090"
Jul-11,"47,692"
Aug-11,"38,296"
Sep-11,"41,149"
Oct-11,"46,002"
Nov-11,"45,256"
Dec-11,"49,634"
Jan-12,"29,532"
Feb-12,"64,197"
Mar-12,"67,333"
Apr-12,"35,397"
May-12,"20,980"
Jun-12,"66,446"
Jul-12,"63,430"
Aug-12,"28,225"
Sep-12,"59,782"
Oct-12,"67,062"
Nov-12,"31,561"
Dec-12,"37,959"
Jan-13,"64,866"
Feb-13,"67,409"
Mar-13,"63,198"
Apr-13,"69,877"
May-13,"21,598"
Jun-13,"68,955"
Jul-13,"38,021"
Aug-13,"62,154"
Sep-13,"26,035"
Oct-13,"44,224"
Nov-13,"26,192"
Dec-13,"30,463"
Jan-14,"43,350"
